component,first_seen_utc,last_seen_utc,hits,last_dose_value,last_dose_unit
anti-sticking agent ),2026-03-08T08:00:03+00:00,2026-03-08T08:00:08+00:00,2,,
b6,2026-03-10T12:29:33+00:00,2026-03-10T12:34:02+00:00,2,75.0,mg
cakium,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,75.0,mg
coating agent,2026-03-08T08:00:00+00:00,2026-03-08T08:00:05+00:00,2,,
colours and ins 172),2026-03-08T08:01:14+00:00,2026-03-08T08:01:39+00:00,2,,
cupric oxide,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,6,,
dicalcium phosphate,2026-03-08T07:58:54+00:00,2026-03-13T07:26:47+00:00,8,,
diluent ),2026-03-08T07:59:03+00:00,2026-03-08T07:59:14+00:00,2,,
disintegrant,2026-03-08T07:59:19+00:00,2026-03-08T07:59:29+00:00,2,,
dl-alpha tocopheryl acetate,2026-03-08T07:59:43+00:00,2026-03-08T07:59:47+00:00,2,,
ferrous fumarate,2026-03-08T07:59:33+00:00,2026-03-10T12:15:42+00:00,4,,
glazing agent and ins 462),2026-03-08T08:00:50+00:00,2026-03-08T08:01:06+00:00,2,,
green tea extract,2026-03-08T07:59:26+00:00,2026-03-13T07:26:47+00:00,3,50.0,mg
ingredients,2026-03-08T07:58:45+00:00,2026-03-08T07:58:58+00:00,2,,
ingredients dicalcium phosphate,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,300.0,mcg
l-arginine,2026-03-08T07:59:15+00:00,2026-03-13T07:26:46+00:00,11,50.0,mg
l-lysine,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,9,,
l-methionine,2026-03-08T07:59:46+00:00,2026-03-13T07:26:47+00:00,8,10.0,mg
ltysine,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,50.0,mg
lubricant,2026-03-08T07:59:30+00:00,2026-03-08T07:59:35+00:00,2,,
lycopene 10,2026-03-13T07:26:46+00:00,2026-03-13T07:26:46+00:00,1,500.0,mcg
mct-oil,2026-03-13T07:22:51+00:00,2026-03-13T07:25:52+00:00,2,16.0,mg
n-pteroyl-l-glutamic acid,2026-03-08T08:00:38+00:00,2026-03-08T08:00:54+00:00,2,,
nature identical chocolate flavour,2026-03-08T07:59:37+00:00,2026-03-08T07:59:42+00:00,2,,
nicotinamide,2026-03-08T07:59:40+00:00,2026-03-13T07:26:47+00:00,8,,
pantothenate,2026-03-10T12:29:33+00:00,2026-03-13T07:26:47+00:00,4,,
phytomenadione,2026-03-08T08:00:25+00:00,2026-03-13T07:26:47+00:00,5,,
preservative,2026-03-08T08:00:12+00:00,2026-03-08T08:00:16+00:00,2,,
product weight,2026-03-08T07:58:36+00:00,2026-03-10T11:33:29+00:00,3,60.0,g
product weight 60g,2026-03-08T08:02:05+00:00,2026-03-08T08:02:11+00:00,2,,
pteroyl-i- glutamic,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,,
pteroyl-l- glutamic,2026-03-10T12:29:33+00:00,2026-03-10T12:37:42+00:00,3,,
pteroyl-l-glutamic,2026-03-10T11:49:33+00:00,2026-03-10T12:15:42+00:00,2,,
retinyl acetate,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,6,,
serve based on,2026-03-10T12:29:33+00:00,2026-03-10T12:37:41+00:00,3,2000.0,kcal
serving size 1 tablet,2026-03-08T08:01:35+00:00,2026-03-08T08:01:57+00:00,2,,
servings in the pack 60 tablets,2026-03-08T08:01:52+00:00,2026-03-08T08:02:07+00:00,2,,
tocopheryl,2026-03-10T11:49:33+00:00,2026-03-13T07:26:47+00:00,6,,
unknown compound xyz,2026-03-08T08:01:47+00:00,2026-03-08T08:01:47+00:00,1,,
vaamm b,2026-03-13T07:26:46+00:00,2026-03-13T07:26:46+00:00,1,10.0,mg
vehicle,2026-03-08T08:01:01+00:00,2026-03-08T08:01:18+00:00,2,,
vitamin b complex,2026-03-08T07:57:41+00:00,2026-03-08T07:57:41+00:00,1,,
vitmain b complex,2026-03-08T08:21:01+00:00,2026-03-08T08:23:35+00:00,2,1000.0,mg
vramine,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,73.0,mg
zine,2026-03-13T07:26:47+00:00,2026-03-13T07:26:47+00:00,1,12.0,mg
